shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
050092,43.512554,5.423633,30,
050092,43.511887,5.421464,31,
050092,43.511158,5.413246,32,
050092,43.51049,5.40958,33,
050092,43.508236,5.408048,34,
050092,43.508114,5.406056,35,
050092,43.507397,5.400787,36,
050092,43.504333,5.394771,37,
050092,43.509007,5.392655,38,
050092,43.508698,5.389184,39,
050092,43.507931,5.386737,40,
050093,43.547371,5.439432,1,
050093,43.547363,5.442791,2,
050093,43.547279,5.445415,3,
050093,43.544823,5.445282,4,
050093,43.542141,5.445532,5,
050093,43.539856,5.445938,6,
050093,43.539703,5.447765,7,
050093,43.538902,5.449646,8,
050093,43.537109,5.452814,9,
050093,43.534828,5.451224,10,
050093,43.53265,5.448878,11,
050093,43.532204,5.445223,12,
050093,43.531307,5.441679,13,
050093,43.530766,5.439666,14,
050093,43.528625,5.440062,15,
050093,43.527966,5.44154,16,
050093,43.52663,5.444524,17,
050093,43.52367,5.44266,18,
050093,43.5242,5.43303,19,
050093,43.524078,5.431244,20,
050093,43.522724,5.429957,21,
050093,43.520218,5.429736,22,
050093,43.520317,5.43148,23,
050093,43.51926,5.432504,24,
050093,43.517075,5.435406,25,
050093,43.515537,5.434653,26,
050093,43.514355,5.431868,27,
050093,43.514072,5.430567,28,
050093,43.513092,5.428077,29,
050093,43.512554,5.423633,30,
050093,43.513248,5.428537,31,
060060,43.534992,5.476192,1,
060060,43.535595,5.471227,2,
060060,43.53627,5.473351,3,
060060,43.537788,5.472951,4,
060060,43.537682,5.470801,5,
060060,43.538353,5.468957,6,
060060,43.537251,5.467806,7,
060060,43.535568,5.465478,8,
060060,43.535141,5.46323,9,
060060,43.533806,5.462532,10,
060060,43.534058,5.460897,11,
060060,43.533901,5.459284,12,
060060,43.532101,5.456892,13,
060060,43.530937,5.455961,14,
060060,43.529865,5.453839,15,
060060,43.531696,5.451636,16,
060060,43.53265,5.448878,17,
060060,43.532204,5.445223,18,
060060,43.531307,5.441679,19,
060060,43.530766,5.439666,20,
060060,43.528625,5.440062,21,
060060,43.527966,5.44154,22,
060060,43.52663,5.444524,23,
060060,43.52367,5.44266,24,
060060,43.523521,5.43925,25,
060060,43.5242,5.43303,26,
060060,43.524921,5.42946,27,
060066,43.52478,5.42945,1,
060066,43.52393,5.43393,2,
060066,43.52346,5.43849,3,
060066,43.5238,5.44287,4,
060066,43.525681,5.44492,5,
060066,43.523891,5.447196,6,
060066,43.523949,5.449867,7,
060066,43.525112,5.454585,8,
060066,43.528027,5.45519,9,
060066,43.529354,5.453794,10,
060066,43.529747,5.454009,11,
060066,43.530758,5.455858,12,
060066,43.531216,5.456831,13,
060066,43.53302,5.458918,14,
060066,43.53392,5.461131,15,
060066,43.534454,5.462998,16,
060066,43.53508,5.463429,17,
060066,43.535435,5.46536,18,
060066,43.536919,5.467707,19,
060066,43.538124,5.469314,20,
060066,43.537582,5.470905,21,
060066,43.537834,5.473375,22,
060066,43.536621,5.473463,23,
060066,43.535595,5.471227,24,
060066,43.534992,5.476192,25,
070052,43.547409,5.439464,1,
070052,43.547302,5.43975,2,
070052,43.545349,5.440753,3,
070052,43.542686,5.440988,4,
070052,43.540882,5.4419,5,
070052,43.539749,5.4425230000000004,6,
070052,43.536469,5.444756,7,
070052,43.534245,5.44563,8,
070052,43.534119,5.445191,9,
070052,43.533997,5.442999,10,
070052,43.533115,5.440185,11,
070052,43.53067,5.438123,12,
070052,43.528625,5.440062,13,
070052,43.527966,5.44154,14,
070052,43.52663,5.444524,15,
070052,43.52367,5.44266,16,
070052,43.522507,5.442368,17,
070052,43.51976,5.442678,18,
070052,43.514709,5.442599,19,
070052,43.509434,5.440727,20,
070052,43.507038,5.43686,21,
070052,43.504253,5.435232,22,
070052,43.503319,5.43639,23,
070054,43.503319,5.43639,1,
070054,43.504154,5.435382,2,
070054,43.50732,5.43753,3,
070054,43.509483,5.440955,4,
070054,43.514702,5.442742,5,
070054,43.519749,5.442779,6,
070054,43.5238,5.44287,7,
070054,43.525642,5.444788,8,
070054,43.527554,5.442679,9,
070054,43.528969,5.439557,10,
070054,43.530128,5.438575,11,
070054,43.532795,5.439538,12,
070054,43.534031,5.443477,13,
070054,43.533733,5.445476,14,
070054,43.534386,5.44647,15,
070054,43.534981,5.445416,16,
070054,43.537418,5.44478,17,
070054,43.539955,5.442566,18,
070054,43.541386,5.441837,19,
070054,43.542641,5.441084,20,
070054,43.545673,5.440852,21,
070054,43.547249,5.440038,22,
070054,43.547409,5.439464,23,
080012,43.522446,5.421097,1,
080012,43.521851,5.41877,2,
080012,43.522331,5.415426,3,
080012,43.522423,5.413536,4,
080012,43.524086,5.412557,5,
080012,43.526646,5.410691,6,
080012,43.528267,5.411831,7,
080012,43.529533,5.413156,8,
080012,43.531338,5.413255,9,
080012,43.532848,5.412918,10,
080012,43.534744,5.415396,11,
080012,43.53339,5.41618,12,
080012,43.530979,5.41671,13,
080012,43.529823,5.420167,14,
080012,43.529118,5.42261,15,
080012,43.528164,5.429886,16,
080012,43.528233,5.433351,17,
080012,43.528603,5.436275,18,
080012,43.529026,5.438655,19,
080012,43.528625,5.440062,20,
080012,43.527966,5.44154,21,
080012,43.52663,5.444524,22,
080012,43.523891,5.447196,23,
080012,43.523949,5.449867,24,
080012,43.522129,5.449494,25,
080012,43.520267,5.449699,26,
080012,43.517368,5.449767,27,
080012,43.515831,5.452314,28,
